alpha,cl_stdy,cd_stdy,cm_stdy,cl_sep,cl_lin,cl_stall
-180.000000,0.000000,0.000000,0.000000,0.000000,-24.552300,0.000000
-175.000000,0.173600,0.009900,0.021800,0.000000,-23.861800,0.173600
-170.000000,0.342000,0.039200,0.043400,0.000000,-23.171300,0.342000
-165.000000,0.500000,0.087100,0.064700,0.000000,-22.480800,0.500000
-160.000000,0.642800,0.152100,0.085500,0.000000,-21.790300,0.642800
-155.000000,0.766000,0.232200,0.105700,0.000000,-21.099800,0.766000
-150.000000,0.866000,0.325000,0.125000,0.000000,-20.409300,0.866000
-145.000000,0.939700,0.427700,0.143400,0.000000,-19.718800,0.939700
-140.000000,0.984800,0.537100,0.160700,0.000000,-19.028300,0.984800
-135.000000,1.000000,0.650000,0.176800,0.000000,-18.337800,1.000000
-130.000000,0.984800,0.762900,0.191500,0.000000,-17.647300,0.984800
-125.000000,0.939700,0.872300,0.204800,0.000000,-16.956800,0.939700
-120.000000,0.866000,0.975000,0.216500,0.000000,-16.266300,0.866000
-115.000000,0.766000,1.068000,0.226600,0.000000,-15.575800,0.766000
-110.000000,0.642800,1.148000,0.234900,0.000000,-14.885300,0.642800
-105.000000,0.500000,1.213000,0.241500,0.000000,-14.194800,0.500000
-100.000000,0.342000,1.261000,0.246200,0.000000,-13.504300,0.342000
-95.000000,0.173600,1.290000,0.249000,0.000000,-12.813800,0.173600
-90.000000,0.000000,1.300000,0.250000,0.000000,-12.123300,0.000000
-85.000000,-0.173600,1.290000,0.249000,0.000000,-11.432800,-0.173600
-80.000000,-0.342000,1.261000,0.246200,0.000000,-10.742300,-0.342000
-75.000000,-0.500000,1.213000,0.241500,0.000000,-10.051800,-0.500000
-70.000000,-0.642800,1.148000,0.234900,0.000000,-9.361300,-0.642800
-65.000000,-0.766000,1.068000,0.226600,0.000000,-8.670800,-0.766000
-60.000000,-0.866000,0.975000,0.216500,0.000000,-7.980300,-0.866000
-55.000000,-0.939700,0.872300,0.204800,0.000000,-7.289800,-0.939700
-50.000000,-0.984800,0.762900,0.191500,0.000000,-6.599300,-0.984800
-45.000000,-1.000000,0.650000,0.176800,0.000000,-5.908800,-1.000000
-40.000000,-1.022000,0.535200,0.141600,0.000000,-5.218300,-1.022000
-39.000000,-1.024000,0.506600,0.134600,0.000000,-5.080200,-1.024000
-38.000000,-1.016000,0.485100,0.127600,0.000000,-4.942100,-1.016000
-37.000000,-1.018000,0.456500,0.120500,0.000000,-4.804000,-1.018000
-36.000000,-1.011000,0.427900,0.113500,0.000000,-4.665900,-1.011000
-35.000000,-1.003000,0.399400,0.096500,0.000000,-4.527800,-1.003000
-34.000000,-0.995400,0.370800,0.079400,0.000000,-4.389700,-0.995400
-33.000000,-0.987700,0.335300,0.062400,0.000000,-4.251600,-0.987700
-32.000000,-0.983500,0.309700,0.051500,0.000000,-4.113500,-0.983500
-30.000000,-0.970300,0.266300,0.038900,0.000000,-3.837300,-0.970300
-28.000000,-0.967200,0.222900,0.026300,0.001790,-3.561100,-0.962549
-26.000000,-0.944100,0.194100,0.015400,0.005214,-3.284900,-0.931832
-24.000000,-0.931000,0.165400,0.004500,0.012665,-3.008700,-0.904348
-22.000000,-0.904700,0.141700,-0.003900,0.022743,-2.732500,-0.862164
-20.000000,-0.878400,0.118100,-0.012300,0.038421,-2.456300,-0.815354
-18.000000,-0.845900,0.098600,-0.017500,0.060422,-2.180100,-0.760101
-16.000000,-0.813400,0.079200,-0.022700,0.094405,-1.903900,-0.699719
-14.000000,-0.772800,0.064300,-0.023500,0.142949,-1.627700,-0.630210
-12.000000,-0.732200,0.049500,-0.024400,0.222877,-1.351500,-0.554586
-10.000000,-0.693500,0.038100,-0.022700,0.367428,-1.075300,-0.471732
-8.000000,-0.654700,0.026700,-0.021000,0.656586,-0.799100,-0.378616
-6.000000,-0.450700,0.020400,-0.038900,0.734101,-0.522900,-0.251368
-4.000000,-0.246700,0.014000,-0.056900,1.000000,-0.246700,-0.123350
-2.000000,0.029500,0.012900,-0.071700,1.000000,0.029500,0.014750
0.000000,0.305600,0.011800,-0.086500,1.000000,0.305600,0.152800
2.000000,0.567000,0.011900,-0.095400,1.000000,0.567000,0.283500
4.000000,0.819900,0.012500,-0.102400,1.000000,0.819900,0.409950
6.000000,1.061000,0.013600,-0.107100,0.872916,1.134300,0.567150
8.000000,1.287000,0.015200,-0.109400,0.828896,1.410500,0.688719
10.000000,1.484000,0.018000,-0.108000,0.767340,1.686700,0.815473
12.000000,1.639000,0.022400,-0.102600,0.684847,1.962900,0.935146
14.000000,1.733000,0.030300,-0.095240,0.576860,2.239100,1.043041
16.000000,1.714000,0.053900,-0.091040,0.423769,2.515300,1.124713
18.000000,1.683000,0.095400,-0.097940,0.305737,2.791500,1.194843
20.000000,1.657000,0.143500,-0.110300,0.220797,3.067700,1.257261
22.000000,1.644000,0.228000,-0.130000,0.161880,3.343900,1.315670
24.000000,1.633000,0.314800,-0.153300,0.117833,3.620100,1.367578
26.000000,1.633000,0.392600,-0.176000,0.086897,3.896300,1.417610
28.000000,1.617000,0.462300,-0.196600,0.060050,4.172500,1.453740
30.000000,1.597000,0.526600,-0.214900,0.039323,4.448700,1.480272
32.000000,1.571000,0.585500,-0.231300,0.023484,4.724900,1.495152
33.000000,1.576000,0.621500,-0.236600,0.019199,4.863000,1.511658
34.000000,1.557000,0.656200,-0.240600,0.013442,5.001100,1.510072
35.000000,1.548000,0.689700,-0.244700,0.009537,5.139200,1.513419
36.000000,1.527000,0.714800,-0.248700,0.005750,5.277300,1.505310
37.000000,1.526000,0.746400,-0.249600,0.003804,5.415400,1.511149
38.000000,1.514000,0.776200,-0.245500,0.001959,5.553500,1.506071
39.000000,1.492000,0.798200,-0.244400,0.000576,5.691600,1.489581
40.000000,1.460000,0.819700,-0.242300,0.000001,5.829700,1.459997
45.000000,1.295000,0.912200,-0.237300,0.000000,6.520200,1.295000
50.000000,1.126000,0.966500,-0.235400,0.000000,7.210700,1.126000
55.000000,0.980800,0.995700,-0.232400,0.000000,7.901200,0.980800
60.000000,0.866000,1.035000,-0.233500,0.000000,8.591700,0.866000
65.000000,0.766000,1.083000,-0.233600,0.000000,9.282200,0.766000
70.000000,0.642800,1.148000,-0.234900,0.000000,9.972700,0.642800
75.000000,0.500000,1.213000,-0.241500,0.000000,10.663200,0.500000
80.000000,0.342000,1.261000,-0.246200,0.000000,11.353700,0.342000
85.000000,0.173600,1.290000,-0.249000,0.000000,12.044200,0.173600
90.000000,0.000000,1.300000,-0.250000,0.000000,12.734700,0.000000
95.000000,-0.173600,1.290000,-0.249000,0.000000,13.425200,-0.173600
100.000000,-0.342000,1.261000,-0.246200,0.000000,14.115700,-0.342000
105.000000,-0.500000,1.213000,-0.241500,0.000000,14.806200,-0.500000
110.000000,-0.642800,1.148000,-0.234900,0.000000,15.496700,-0.642800
115.000000,-0.766000,1.068000,-0.226600,0.000000,16.187200,-0.766000
120.000000,-0.866000,0.975000,-0.216500,0.000000,16.877700,-0.866000
125.000000,-0.939700,0.872300,-0.204800,0.000000,17.568200,-0.939700
130.000000,-0.984800,0.762900,-0.191500,0.000000,18.258700,-0.984800
135.000000,-1.000000,0.650000,-0.176800,0.000000,18.949200,-1.000000
